q,jaccard,aitm,qitm,article,answer,iw,v,n,dup,len,answerable,max_rouge
菲律賓普洛格山國家公園於1896年以來唯一一次被觀察到什麼?,0.1627906976744186,"侏儒雲鼠,菲律賓,學名,Carpomys,melanurus,呂宋島,一種,類動物,棲息,亞熱帶,熱帶,該物種,認定,滅絕,2008,發現,普洛格,山國家,公園,這是,1896,以來,觀察到,體約重,185","菲律賓,普洛格,山國家,公園,1896,年,以來,唯一,一次,觀察到","大侏儒雲鼠（學名:""Carpomys melanurus""），菲律賓呂宋島的一種特有齧齒類動物。它們主要棲息於位於亞熱帶或熱帶內潮溼的山地和森林。該物種曾一度被認定爲滅絕。在2008年，被重新發現於菲律賓普洛格山國家公園，這是在1896年以來唯一一次再次觀察到大侏儒雲鼠。被捕捉到的個體約重185克，有着濃密柔軟的紅棕色皮毛。",大侏儒雲鼠,1,1,1,1,30,True,0.09230769230769231
在水中煮沸pro或用濃乙酸與之作用可以得到什麼物質?,0.1538461538461538,"二氧化,PrO,一種,無機化,合物,化學式,濃乙酸,320,360,氧氣,或用,放出,分解,水中,作用","水中,煮,沸,pro,或用,濃乙酸,作用,物質",二氧化鐠是一種無機化合物，化學式爲PrO。二氧化鐠可以通過在水中煮沸PrO或用濃乙酸與之作用得到：二氧化鐠依據製備方法的不同，在320或360℃開始分解，放出氧氣。,二氧化鐠,1,1,1,1,26,True,0.29266900790166817
在320或360開始分解放出氧氣為哪一種物質?,0.25,"二氧化,PrO,一種,無機化,合物,化學式,濃乙酸,320,360,氧氣,或用,放出,分解,水中,作用","320,360,℃,分解,放出,氧氣,一種,物質",二氧化鐠是一種無機化合物，化學式爲PrO。二氧化鐠可以通過在水中煮沸PrO或用濃乙酸與之作用得到：二氧化鐠依據製備方法的不同，在320或360℃開始分解，放出氧氣。,二氧化鐠,1,1,1,1,25,True,0.24846356453028973
哪一所研究所是從事內陸水體生命過程生態環境保護與生物資源利用研究的綜合性學術研究機構?,0.282051282051282,"研究,中國,科學院,動植物,生物,水生,保護,資源,機構,人員,歷史,博物館,侵華戰爭,動物,成立,研究院,從事內,陸水體,過程,生態,環境,綜合性,學術,現有,職員工","哪一所,研究,事內,陸水體,生命,過程,生態,環境,保護,生物,資源,利用,綜合性,學術,機構",中國科學院水生生物研究所（），中國科學院早期成立的研究所之一，是“從事內陸水體生命過程、生態環境保護與生物資源利用研究的綜合性學術研究機構”。現有在職員工367人，科研人員292人。該所前身爲1930年成立於南京的的國立中央研究院自然歷史博物館，1934年7月自然歷史博物館改名動植物研究所。日本侵華戰爭爆發後，動植物研究所多次遷移，先後移至湖南衡山、廣西陽朔、重慶北碚。1944年5月，動植物研究所分建爲動物研究所和植物研究所，侵華戰爭結束後又遷入上海。1950年中國科學院成立後，動植物研究所和北平研究院動物研究所的部分研究人員在上海合建水生生物研究所。1954年水生生物研究所遷至武漢。近年來研究所着力於水環境保護、漁業可持續發展等方面的研究，亦主辦《水生生物學報》期刊，是國家斑馬魚資源中心的依託機構。,中國科學院水生生物研究所,1,1,1,1,44,True,0.30323709536307963
哪一種日本陸上自衛隊的職位相當於他國的陸軍上將?,0.1111111111111111,"陸上,幕僚長,相當,自衛隊,他國,防衛大臣,職位,軍銜,陸將,櫻星,Chief,Staff,Ground,Self,Defense,Force,最高階,武職,監部,首長,參謀長,職責,指揮,監督下,對陸","哪一種,日本,陸上,自衛隊,職位,相當,他國,陸軍上將","陸上幕僚長（りくじょうばくりょうちょう、Chief of Staff, Ground Self-Defense Force）是日本陸上自衛隊最高階的武職，以及陸上幕僚監部的首長，相當於他國的陸軍參謀長。其職責爲在防衛大臣的指揮監督下，對陸上自衛隊的任務以及自衛隊員（陸上自衛官）進行監督，並作爲相關方面的最高幕僚協助防衛大臣。其職位爲政令指定職位（7號），與警視總監同等（但並非指揮官）。陸上幕僚長的軍銜爲陸將，但其階級章有別於普通陸將的三顆櫻星（相當於他國的陸軍中將，見日本軍銜），而是與統合幕僚長及海、空兩隊的幕僚長一樣擁有四顆櫻星，相當於他國陸軍上將。",陸上幕僚長,1,1,1,1,24,True,0.15852525252525254
在遊戲或娛樂系統中爲電子遊戲提供輸入的設備為哪一種控制器?,0.1627906976744186,"遊戲,控制器,設備,一個,按鍵,電子,輸入,方向盤,射擊,娛樂系,統中,對象,電線,電繩,連接,遊戲機,電腦,2000,起無線,劃入,有鍵盤,鼠標,操作杆,駕駛遊戲,光線","遊戲,娛樂系,統中,爲,電子,提供,輸入,設備,一種,控制器",遊戲控制器（）是在遊戲或娛樂系統中，爲電子遊戲提供輸入的設備，通常控制遊戲中的一個對象或角色。控制器通常通過電線或電繩連接遊戲機或電腦，但從2000年代中期起無線控制器開始普及。劃入遊戲控制器的輸入設備有鍵盤、鼠標、手柄、操作杆等。駕駛遊戲的方向盤，以及射擊遊戲的光線槍這類專用設備，也是遊戲控制器。多年來遊戲控制器一直在設計並改進，以期儘可能提升使用親和力。這使得的按鍵佈局風格繁多，同時一些控制器更善於特定遊戲。比如任天堂GameCube控制器以不適合格鬥遊戲而著稱，因按鍵佈局不利於重複按相同的鍵，而微軟Xbox控制器的側肩按鍵則模仿了真實槍械的扳機，收到射擊遊戲的歡迎。一些控制器設計中特意爲一類遊戲最大優化，如駕駛遊戲的方向盤，或舞蹈遊戲的跳舞毯。一個最早的電子遊戲控制器是簡單的轉盤外加一個單鍵，用來操作雙人網球遊戲。此後控制器逐步演化，有了十字鍵、多按鍵、控制桿、運動檢測、類比搖桿、觸摸屏，以及諸多其他類型。,遊戲控制器,1,1,1,1,30,True,0.342609126984127
什麼效果會使角色能力值的暫時或永久改變?,0.1363636363636363,"狀態,遊戲,效果,職業,角色,稱作,負面,透過,指定,消耗品,移除,演遊戲,能力值,暫時,或永久,改變,buff,減益,debuff,為己,方角色,敵方角色,任務,或動,作來","效果,使,角色,能力值,暫時,或永久,改變",在角色扮演遊戲中、狀態效果會使角色能力值的暫時或永久改變。有益效果被稱作增益（buff），負面效果被稱作減益（debuff）。玩家可以透過消耗能量或消耗品，來為己方角色、盟友角色或敵方角色施加狀態，也可以透過完成指定任務或動作來取得。某些遊戲提供持續整個遊戲關卡的狀態效果，並做為遊戲難度的調整。消除這些狀態的方法和這些狀態本身一樣廣泛，某些狀態會隨著時間經過而失去，某些則必須依靠指定的道具或魔法，如果遊戲中具有職業機制，則某種特定職業通常會具有比其他職業更強的移除負面效果的能力。此外、許多遊戲中有部份武器或裝備可以讓角色受到的狀態效果減輕，或可以使該角色豁免此狀態效果。,狀態效果,1,1,1,1,20,True,0.6013227513227514
拿破崙於1810年仿照巴黎高等師範學校創建的哪一所高等教育機構?,0.1111111111111111,"師範學校,比薩高,意大利,簡稱,比薩,一所公立,機構,破崙,1810,巴黎高,創建,小規模,精英學院,它通,過極,嚴格,選拔,考試,錄取,被視,學府,其校友,諾貝爾獎,主和多名,意大利政要","拿破崙,1810,年,仿照,巴黎高,師範學校,創建,一所高,教育,機構",比薩高等師範學校（，簡稱）是坐落在意大利比薩的一所公立高等教育及研究機構，是的一部分，由拿破崙於1810年仿照巴黎高等師範學校創建。比薩高等師範學校是一座小規模的精英學院，它通過極嚴格的選拔考試錄取新生，被視爲意大利最好的高等學府之一。其校友包括三名諾貝爾獎得主和多名意大利政要。曾在比薩高等師範學校學習或任教的名人包括:,比薩高等師範學校,1,1,1,1,32,True,0.1896681749622926
哪一種食品成分表為醫院和企業計算食物營養的標準?,0.2121212121212121,"成分表,標準,文部,Standard,Tables,Food,Composition,Japan,現為,科學省,負責,一種,醫院,企業,計算,營養,食品,日本,食物,制定","哪一種,食品,成,分表為,醫院,企業,計算,食物,營養,標準",日本食品標準成分表(Standard Tables of Food Composition in Japan)現為日本文部科學省負責制定的一種食品成分表，作為醫院和企業計算食物營養的標準。,日本食品標準成分表,1,1,1,1,24,True,0.22889200561009818
佐賀縣東京都出身血型b型身高148cm隸屬axlone的聲優為誰?,0.1627906976744186,"隸屬,2014,2018,深川芹亞,聲優,佐賀縣,東京,148cm,AXL,粗體,2015,2016,2017,2019,2020,血型,身高,主角,角色,出身,女性,一名,以前,日本,表示","佐賀縣,東京,出身,血型,b,型,身高,148cm,隸屬,axlone,聲,優為",深川芹亞（，）是一名日本女性聲優。佐賀縣、東京都出身。血型B型。身高148cm。隸屬AXL ONE。以前隸屬於。主角、主要角色以粗體表示2014年2015年2016年2017年2018年2019年2020年2014年2018年,深川芹亞,1,1,1,1,37,True,0.8333333333333335
地區性的奴隸系統開始提供奴隸給非洲以外的地區是因為跨大西洋的奴隸貿易以及什麼?,0.1904761904761904,"奴隸,非洲,國家,貿易,地區,許多,系統,跨大西洋,莊園,制度,西非,現今,曾遍,許多存,社會,視為,財產,一個,類似,契約,勞工,權利,當伊斯蘭,地區性,奴隸給","地區性,奴隸,系統,提供,奴隸給,非洲,以外,地區,跨大西洋,貿易",非洲以往就已有奴隸制度，在現今的非洲不少國家仍有。在古代史中有許多奴隸制度及奴隸，而以往在非洲的一些國家中，曾遍存在奴隸制度及奴隸。在許多存在奴隸制度的非洲社會中，奴隸不是視為主人的財產，而是在一個類似其他國家契約勞工的系統中，有一定的權利。當伊斯蘭世界奴隸貿易及跨大西洋的奴隸貿易開始後，地區性的奴隸系統開始提供奴隸給非洲以外的地區。在非洲的歷史上，奴隸有許多不同的形式，在非洲不同地區曾出現過、戰爭俘虜、軍事奴隸以及罪犯奴隸等。家庭工作的奴隸在非洲很多地方都有。莊園奴隸主要是在非洲東岸及部份西非地區。自從19世紀禁止跨大西洋的奴隸貿易起，家庭工作奴隸及莊園奴隸的重要性開始提高。許多以往賴奴隸買賣的非洲國家將其經濟定位在以奴隸勞動為基礎的合法商業。西非的達荷美王國(貝寧)也以奴隸買賣聞名。,伊斯蘭世界奴隸貿易,1,1,1,1,39,True,0.752046783625731
哪一個機場是中國貴州省六盤水市的一個民用機場?,0.1363636363636363,"機場,六盤,2014,水月照,中國,水市,地質,條件,開工,泥岩,填方,航站,貴州,省六盤,一個,鐘山區,照鄉,大壩村,水城縣,董地,大窯村,交界處,投資,12.7,億元","哪一個,機場,中國,貴州,省六盤,水市,一個,民用",六盤水月照機場（）是中國貴州省六盤水市的一個民用機場，位於六盤水市鐘山區月照鄉大壩村與水城縣董地鄉大窯村的交界處。機場總投資12.7億元人民幣，按照2020年機場旅客吞吐量25萬人次，貨郵吞吐量1250噸，飛機起降量3500架次設計，共建有長2800米、寬45米的跑道和8342平方米航站樓，機場飛行區等級4C。六盤水月照機場爲國內支線機場中挖填土石方量最大（5968萬立方米），填方高度最高（最大高差163米，最大填深85米），地質條件最複雜（包括九黃機場、攀枝花機場的所有地質災害），施工條件最艱難（炭質泥岩、煤層、粉砂質泥岩等填料）的機場之一。2014年11月28日，機場正式通航，首航由中國南方航空執飛貴陽—六盤水航線。2008年4月，機場建設工程啟動。2009年，機場完成選址，並獲得國家發改委批准立項。2011年9月26日，土石方工程開工。2012年2月27日，機場正式開工。2014年8月29日，機場順利通過竣工驗收。2014年9月24日，機場成功試飛。,六盤水月照機場,1,1,1,1,23,True,0.23446553446553448
鳳凰衛視香港臺半小時長的文化創意節目是什麼節目?,0.1363636363636363,"節目,香港,文化,主持,重播,北美版,傾程,鳳凰衛視,半小時,創意,2013,日播,放首期,接檔,時段,時事,辯論會,程治平,邀請,藝術界,同範疇,代表人物,跟觀,其藝術,傳奇","鳳凰衛視,香港,臺,半小時,長,文化,創意,節目",《文化傾程》（）是鳳凰衛視香港臺半小時長的文化創意節目，2013年4月3日播放首期，接檔港臺節目時段。主持人是《時事辯論會》主持人程治平。節目邀請文化藝術界不同範疇的代表人物，跟觀衆分享其藝術成就及傳奇人生，從中展現文化菁英憑着鍥而不捨的精神，堅毅不拔的毅力，爲本土以至中華文化藝術的發展作出的傑出貢獻。此節目如出現製作不足便會暫停播放，期間香港臺會重播港臺電視劇。另外，香港臺北美版不會播放此節目，以其他節目取代。（以香港時間爲準）,文化傾程,1,1,1,1,24,True,0.23857594936708862
國立臺灣大學人文社科高等研究院主持的大型跨國調查研究項目是什麼?,0.1904761904761904,"調查,項目,亞洲民主動態,研究,議題,亞洲,政治,研究院,一項,政治學,國立,灣大學,社科高,同主持,跨國,該項,目利用,社會,公民對,政治體,制正,當性,及治理,質量,評價","國立,臺,灣大學,人文,社科高,研究院,主持,大型,跨國,調查,研究,項目",亞洲民主動態調查（），是一項由中央研究院政治學研究所與國立臺灣大學人文社科高等研究院共同主持的大型跨國調查研究項目。該項目利用社會調查方法，長期追蹤東亞十三個國家與地區公民政治價值與行爲的變遷，以及公民對於政治體制正當性以及治理質量的評價。項目負責人是朱雲漢。亞洲民主動態調查是一個應用型研究項目，它旨在測量全亞洲對政治價值、民主和治理等議題的公衆意見。這個區域調查項目的調查組中十三個來自東亞國家和地區（日本、蒙古、南韓、臺灣、香港、中華人民共和國、菲律賓、泰國、越南、柬埔寨、新加坡、印度尼西亞和馬來西亞），五個來自南亞國家（印度、巴基斯坦、孟加拉國、斯里蘭卡和尼泊爾）。總體上，亞洲民主動態調查包括了亞洲所有主要的政治制度，這些政治制度曾按照不同的政體路徑發展，如今正處於不同的轉型階段。在每個國家的研究組的使命是要組織、統籌在普通研究框架下和普通研究方法下的研究，以便使調查能得到亞洲公民在政治、權力、改革和民主等議題上的可靠的微觀數據。,亞洲民主動態調查,1,1,1,1,32,True,0.3036388508891929
哪一個體育場是2018年冬季奧林匹克運動會開閉幕典禮的臨時場館?,0.2195121951219512,"體育場,奧林匹克,平昌,2018,年冬季,開閉,典禮,舉行,運動會,場館,阿爾卑,橫溪,完工,平方公尺,韓國江,原道,臨時,關嶺面,奧林匹克廣場,專用區,距離,西亞度,假村,它將,建一個","哪一個,體育場,2018,年冬季,奧林匹克,運動會,開閉,幕,典禮,臨時,場館",平昌奧林匹克體育場（）位於韓國江原道平昌郡，是作為2018年冬季奧林匹克運動會開閉幕典禮的臨時場館。該體育場位於大關嶺面，在平昌奧林匹克廣場專用區，距離阿爾卑西亞度假村2公里。它將搭建一個五角型舞臺，該體育場在奧運期間作為獎牌廣場，舉行頒獎儀式。奧林匹克體育場將設置在橫溪，佔地80000平方公尺，它是一個臨時性可以容納50000人的體育場，在殘奧會後將拆除。該體育場是2018年冬季奧運會主要體育場館中最後一個完工的，工程於2017年9月完工。此外，體育場旁將有奧林匹克展覽館、傳統食物市集等景點。2018年平昌申辦文件中，開閉幕典禮都預定於阿爾卑西亞跳臺滑雪場舉行。和1994年冬季奧林匹克運動會的規劃類似。2012年7月，POCOG宣佈場地規劃作更動，開閉幕典禮移至橫溪舉行。這個改變主要是因為避免在跳臺滑雪練習和開閉幕典禮準備工作之間互相干擾。,平昌奧林匹克體育場,1,1,1,1,32,True,0.42795698924731185
2018年冬季奧林匹克運動會開閉幕典禮的臨時場館是哪一個場館?,0.1904761904761904,"體育場,奧林匹克,平昌,2018,年冬季,開閉,典禮,舉行,運動會,場館,阿爾卑,橫溪,完工,平方公尺,韓國江,原道,臨時,關嶺面,奧林匹克廣場,專用區,距離,西亞度,假村,它將,建一個","2018,年冬季,奧林匹克,運動會,開閉,幕,典禮,臨時,場館,一個",平昌奧林匹克體育場（）位於韓國江原道平昌郡，是作為2018年冬季奧林匹克運動會開閉幕典禮的臨時場館。該體育場位於大關嶺面，在平昌奧林匹克廣場專用區，距離阿爾卑西亞度假村2公里。它將搭建一個五角型舞臺，該體育場在奧運期間作為獎牌廣場，舉行頒獎儀式。奧林匹克體育場將設置在橫溪，佔地80000平方公尺，它是一個臨時性可以容納50000人的體育場，在殘奧會後將拆除。該體育場是2018年冬季奧運會主要體育場館中最後一個完工的，工程於2017年9月完工。此外，體育場旁將有奧林匹克展覽館、傳統食物市集等景點。2018年平昌申辦文件中，開閉幕典禮都預定於阿爾卑西亞跳臺滑雪場舉行。和1994年冬季奧林匹克運動會的規劃類似。2012年7月，POCOG宣佈場地規劃作更動，開閉幕典禮移至橫溪舉行。這個改變主要是因為避免在跳臺滑雪練習和開閉幕典禮準備工作之間互相干擾。,平昌奧林匹克體育場,1,1,1,1,31,True,0.3833077316948285
2018年冬季奧林匹克運動會開幕式在哪裡舉行?,0.1363636363636363,"開幕式,平昌,2018,奧林匹克,韓民國,20,無人機,年冬季,運動會,體育場,舉行,當天,韓國標,準時,時開始,22,分結束,總統,文在寅,奧運會,開幕,1218,出銀色,五環,標誌","2018,年冬季,奧林匹克,運動會,開幕式,舉行",2018年冬季奧林匹克運動會開幕式在2018年2月9日於大韓民國平昌郡的平昌奧林匹克體育場舉行。開幕式從當天韓國標準時20時開始，至22時20分結束。大韓民國總統文在寅宣佈奧運會開幕。在開幕式上，1218架無人機在空中排列出銀色五環標誌，打破無人機編隊飛行的世界紀錄。,平昌奧林匹克體育場,1,1,1,1,23,True,0.5705827937095282
2018年冬季帕拉林匹克運動會閉幕式在哪裡舉行?,0.1363636363636363,"2018,霍金,平昌,年冬季,帕拉林匹克,運動會,閉幕式,將在,18,奧林匹克,體育場,舉行,平昌冬,殘奧閉,幕式,將對,進行,特別,14,英國劍橋,76,一生面,對漸,凍症,天文學及","2018,年冬季,帕拉林匹克,運動會,閉幕式,舉行",2018年冬季帕拉林匹克運動會閉幕式將在2018年3月18日於平昌奧林匹克體育場舉行。在平昌冬殘奧閉幕式也將對史蒂芬·霍金進行特別致敬。霍金與2018年3月14日在他英國劍橋的居住地逝世，享年76歲。雖然他一生面對漸凍症，但他在天文學及宇宙學裡付出了巨大的貢獻大會會旗將由本屆地主平昌郡郡守交給國際帕拉林匹克委員會主席安德魯·帕森斯，再由後者交給下屆地主北京市市長陳吉寧。,平昌奧林匹克體育場,1,1,1,1,24,True,0.6293844367015099
門捷列夫於1892年發明了哪一種無煙火藥?,0.2258064516129032,"焦珂羅酊,門捷,發明,火藥,一種,無煙,列夫受,俄國海,1892,並建議,將其作,提議,最終,否決,列夫,替代品,所限,效益,成本","門捷,列夫,1892,年,發明,一種,無煙,火藥",焦珂羅酊（，）是門捷列夫發明的一種無煙火藥。門捷列夫受俄國海軍之託於1892年發明焦珂羅酊，並建議將其作爲火藥的替代品，但受成本和效益所限，這個提議最終被否決。,焦珂羅酊,1,1,1,1,21,True,0.2754385964912281
門捷列夫於1892年發明了哪一種無煙火藥?,0.2258064516129032,"焦珂羅酊,門捷,發明,火藥,一種,無煙,列夫受,俄國海,1892,並建議,將其作,提議,最終,否決,列夫,替代品,所限,效益,成本","門捷,列夫,1892,年,發明,一種,無煙,火藥",焦珂羅酊（，）是門捷列夫發明的一種無煙火藥。門捷列夫受俄國海軍之託於1892年發明焦珂羅酊，並建議將其作爲火藥的替代品，但受成本和效益所限，這個提議最終被否決。,焦珂羅酊,1,1,1,1,21,True,0.2754385964912281
